date,agent_equity,agent_return,spy_equity,spy_return,cash,costs,trades,active_positions,latest_weights,execution,agent_drawdown,spy_drawdown
2024-10-28,976.6281564259043,-0.02337184357409572,1157.3042032427588,0.15730420324275873,104.8838690852296,5.724643717971324,41,5,"{'JNJ': 0.224222, 'MA': 0.194971, 'UNH': 0.189095, 'ABBV': 0.158472, 'PFE': 0.13324}",rebalance_at_open_mark_at_close,-0.052092125844317105,-0.006431874635033252
2024-10-29,970.8983832365502,-0.0291016167634498,1159.1771587452113,0.15917715874521132,104.8838690852296,5.724643717971324,41,5,"{'JNJ': 0.224222, 'MA': 0.194971, 'UNH': 0.189095, 'ABBV': 0.158472, 'PFE': 0.13324}",rebalance_at_open_mark_at_close,-0.057653400201992167,-0.0048239059762749115
2024-10-30,984.5341419836514,-0.0154658580163487,1155.6703380927397,0.15567033809273978,104.8838690852296,5.724643717971324,41,5,"{'JNJ': 0.224222, 'MA': 0.194971, 'UNH': 0.189095, 'ABBV': 0.158472, 'PFE': 0.13324}",rebalance_at_open_mark_at_close,-0.0444186362834843,-0.007834579584738766
2024-10-31,979.4546032252058,-0.020545396774794167,1133.015615105282,0.13301561510528193,104.8838690852296,5.724643717971324,41,5,"{'JNJ': 0.224222, 'MA': 0.194971, 'UNH': 0.189095, 'ABBV': 0.158472, 'PFE': 0.13324}",rebalance_at_open_mark_at_close,-0.04934879803903969,-0.027284099068242695
2024-11-01,985.1573250821956,-0.014842674917804444,1137.797543766533,0.13779754376653286,98.39224878697686,6.672723183708231,47,5,"{'JNJ': 0.221451, 'MA': 0.193069, 'QQQ': 0.185822, 'V': 0.162528, 'JPM': 0.13713}",rebalance_at_open_mark_at_close,-0.04381377949918619,-0.023178720480421577
2024-11-04,979.868377419797,-0.020131622580203068,1135.3468068477991,0.1353468068477992,98.39224878697686,6.672723183708231,47,5,"{'JNJ': 0.221451, 'MA': 0.193069, 'QQQ': 0.185822, 'V': 0.162528, 'JPM': 0.13713}",rebalance_at_open_mark_at_close,-0.04894719194710517,-0.0252827257015954
2024-11-05,984.1635788135504,-0.015836421186449567,1149.0751657108494,0.14907516571084933,98.39224878697686,6.672723183708231,47,5,"{'JNJ': 0.221451, 'MA': 0.193069, 'QQQ': 0.185822, 'V': 0.162528, 'JPM': 0.13713}",rebalance_at_open_mark_at_close,-0.04477830208310274,-0.01349666310743991
2024-11-06,1017.8096087170114,0.017809608717011427,1177.6475573399102,0.17764755733991033,98.39224878697686,6.672723183708231,47,5,"{'JNJ': 0.221451, 'MA': 0.193069, 'QQQ': 0.185822, 'V': 0.162528, 'JPM': 0.13713}",rebalance_at_open_mark_at_close,-0.012121720896373533,0.0
2024-11-07,1010.7042501160395,0.010704250116039482,1186.7533000349376,0.18675330003493773,98.39224878697686,6.672723183708231,47,5,"{'JNJ': 0.221451, 'MA': 0.193069, 'QQQ': 0.185822, 'V': 0.162528, 'JPM': 0.13713}",rebalance_at_open_mark_at_close,-0.019018128011246693,0.0
2024-11-08,1013.435943554803,0.013435943554803043,1191.8939858374288,0.19189398583742867,98.39224878697686,6.672723183708231,47,5,"{'JNJ': 0.221451, 'MA': 0.193069, 'QQQ': 0.185822, 'V': 0.162528, 'JPM': 0.13713}",rebalance_at_open_mark_at_close,-0.01636676709834861,0.0
2024-11-11,1017.9098789075658,0.01790987890756579,1193.0297258177807,0.19302972581778066,98.39224878697686,6.672723183708231,47,5,"{'JNJ': 0.221451, 'MA': 0.193069, 'QQQ': 0.185822, 'V': 0.162528, 'JPM': 0.13713}",rebalance_at_open_mark_at_close,-0.012024399410663467,0.0
2024-11-12,1013.5915485201016,0.013591548520101693,1189.3237037424783,0.1893237037424782,98.39224878697686,6.672723183708231,47,5,"{'JNJ': 0.221451, 'MA': 0.193069, 'QQQ': 0.185822, 'V': 0.162528, 'JPM': 0.13713}",rebalance_at_open_mark_at_close,-0.01621573810036847,-0.003106395419244068
2024-11-13,1012.0724402191713,0.01207244021917142,1189.90148515876,0.18990148515875993,98.39224878697686,6.672723183708231,47,5,"{'JNJ': 0.221451, 'MA': 0.193069, 'QQQ': 0.185822, 'V': 0.162528, 'JPM': 0.13713}",rebalance_at_open_mark_at_close,-0.017690173084320637,-0.0026220978332089917
2024-11-14,1008.0978434814857,0.00809784348148579,1182.2502290431316,0.1822502290431316,98.39224878697686,6.672723183708231,47,5,"{'JNJ': 0.221451, 'MA': 0.193069, 'QQQ': 0.185822, 'V': 0.162528, 'JPM': 0.13713}",rebalance_at_open_mark_at_close,-0.021547886503144764,-0.009035396638805482
